post_id,post_title,post_author,post_content,post_category,post_tags,post_type,post_status,is_featured,package_id,expire_date,geodir_video,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,geodir_timing,geodir_contact,geodir_email,geodir_website,geodir_twitter,geodir_facebook,geodir_video,geodir_special_offers,geodir_staff,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE
2745,"Yoga Teacher",9,"<blockquote>""so hum""</blockquote>","Business Opportunities,Channeling",ommmm,gd_consciousbusiness,publish,,3,Never,,"9900 Starhaven Cove, Boynton Beach FL 33473","Boynton Beach",Florida,"United States",33473,26.499415,-80.18743860000001,900,5614445669,darn5555@gmail.com,www.mannabliss.com,,https://www.facebook.com/darnelle.pusateriquinn,,50%,ME,http://www.mannabliss.com/mb/wp-content/uploads/2015/08/2745_thCAHSAUSW.jpg,,,,
2397,"Green Room Cafe",1,"Organic sandwiches wraps salads real fruit smoothies tasty vegetarian and vegan choices wheat-free gluten-free alternatives (including desserts) homemade soups. Healthy children's meals. Will cater your event.","Eat Well",,gd_consciousbusiness,publish,,3,Never,,"222 First Street North","Cocoa Beach",FL,"United States",32931,28.5247,-80.6484,,,,http://www.GreenRoomCafeCocoaBeach.com,,,,,"Debbie Wright",,,,,
2396,"Amy's Natural, Pet Pantry",1,,"Eat Well",,gd_consciousbusiness,publish,,3,Never,,"1078 S Tamiami Trail",Osprey,FL,"United States",34229,27.2306,-82.4951,,,petpantry@comcast.net,http://amysnaturalpetpantry.com/,,,,,"Lisa Hoffman and/or Michelle McConnell",,,,,
2395,"Englands Pride Cleaning Services",1,,"Green Living,Home Services",,gd_consciousbusiness,publish,,3,Never,,"2338 Immokalee Road 261",Naples,FL,"United States",34110,26.3004,-81.7885,,,,http://www.englandspridecleaning.com,,,,,"2338 Immokalee Road 261 Naples FL 34110",,,,,
2394,"Beyond Motion",1,"Personal training athlete performance Pilates studio Barre Motion Nia technique strength classes nutritional coaching monthly workshops and more.",Fitness,,gd_consciousbusiness,publish,,3,Never,,"11985 Tamiami Trl N",Naples,FL,"United States",34110,26.2816185185185,-81.8018,,,,http://go2beyondmotion.com,,,,,"11985 Tamiami Trl N Naples FL 34110",,,,,
2393,"Patricia Acerra LAc Dipl Ac (NCCAOM) CCht",1,,Health,,gd_consciousbusiness,publish,,3,Never,,"2335 9th St N #303B",Naples,FL,"United States",34103,26.1343,-81.7937,,,,http://HealthAndBeautyClinic.net,,,,,"2335 9th St N #303B Naples FL 34103",,,,,
2392,"Boys & Girls Clubs Of Indian River Sebastian Branch",1,,Community,,gd_consciousbusiness,publish,,3,Never,,"1415 Friendship Lane",Sebastian,FL,"United States",32958,27.9977,-80.5601,,,,,,,,,"1415 Friendship Lane Sebastian 32958",,,,,
2391,"GAIA Center",1,"Energy Healing",Inspiration,,gd_consciousbusiness,publish,,3,Never,,"14470 SW 138 Ct",Miami,FL,"United States",33186,25.6544,-80.4122,,,,cwade3@bellsouth.net,,,,,,,,,,
2390,"SALON VEDAT",1,"Organic Salon Systems has started a revolution of healthier cleaner Natural, organic and better performing professional salon products. Beauty without sacrificing health. Coloring and smoothing treatments for silky healthy hair. No SLS ammonia parabens or plastics.","Beauty &amp; Skin Care",,gd_consciousbusiness,publish,,3,Never,,"114-B Benning Dr",Destin,FL,"United States",32541,30.3938416666667,-86.4954916666667,,,SalonVedat@gmail.com,http://www.SalonVedat.com,,,,,"Janice Skene",,,,,
2389,"Health, Centered Dentistry",1,"Comprehensive Mercury Free & NeuroMuscular Dentistry advanced non-surgical TMJ and sleep breathing disorders therapy head neck and facial pain treatment orthodontics smile makeovers and dentistry for patients with multiple chemical sensitivities.",Health,,gd_consciousbusiness,publish,,3,Never,,"2120 Highway A1A","Indian Harbour Beach",FL,"United States",32937,28.1797,-80.5914,,,Stagg2120@gmail.com,http://www.SmileProfessionals.com,,,,,"Dr. Claire Stagg",,,,,
