post_id,post_title,post_author,post_content,post_category,post_tags,post_type,post_status,is_featured,package_id,expire_date,geodir_video,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,geodir_timing,geodir_contact,geodir_email,geodir_website,geodir_twitter,geodir_facebook,geodir_video,geodir_special_offers,geodir_teachers,geodir_EventClassdate,geodir_timerange,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE
2806,"YOGA FOX of DELRAY BEACH",9,"&nbsp;
<div class=""wrapper clearfix"">
<div id=""main"" class=""grid-block"">
<div id=""maininner"" class=""grid-box"">
<div id=""system"">
<div class=""content clearfix"">
<p align=""justify"">Keith Fox developed YogaFox Vinyasa based on his years of study in the Ashtanga and Vinyasa “limb” of the Family Tree of Hatha Yoga.</p>
<p align=""justify"">Keith is well known in South Florida for his Yoga with Live Music class which welcomes over 100 students each Sunday from 9:30-11am at The Colony Hotel in Delray Beach, Florida. Keith also shares his Yoga with Live Music at local Workshops, Retreats, and at National Festivals such as Wanderlust and YogaFest. His classes always includes the classic YogaFox Vinyasa Flow as well as an amazing Yoga Nidra Meditation to close the class. Keith plays harmonium and shares his devotion at each class as well.</p>
<p align=""justify"">What exactly is YogaFox? The system developed by Keith Fox incorporates many asanas from the first, second, and third series of Ashtanga Yoga (as shared by Pattabi Jois) as well as a variety of other asanas. Keith’s partner, Kelly Brookbank Fox, brings experience from the Kripalu school of yoga which enables the YogaFox Vinyasa school to incorporate advanced pranayama and meditation in motion into the flow. Further, Keith and Kelly both share their love of Kali Natha Yoga (as taught by Guru Ma Jaya Sati Bhagavati) in their teachings. This combination of the physical asana along with the meditative practices of yoga allows the YogaFox Studios and school to offer a comprehensive yoga experience for all participants. Keith also incorporates Bhakti Yoga and Nada Yoga (devotion and healing sound qualities) with his sharing of music at all of his classes through singing and kirtan.</p>
<p align=""justify"">YogaFox studios has two studios in Delray Beach Florida and offers 38+ classes per week. Most instructors are trained by YogaFox school of Yoga and share components of the training described above.</p>
<p align=""justify"">The YogaFox school is registered with the Yoga Alliance as both a 200 hour and 500 hour program.</p>

</div>
</div>
</div>
</div>
</div>","Anusara,Children's,Kripalu,Vinyasa","#yogafox #keithfox #yogaeverydamnday",gd_yoga_studio,publish,,6,Never,,"1405 N Federal Hwy","Delray Beach",FL,"United States",33483,26.479862,-80.06601799999999,"6:30am to 6pm Everyday",704-756-9245,kelly@yogafox.com,http://www.yogafox.com/class-schedule/,,https://www.facebook.com/#!/pages/YogaFox/138354932864737?fref=ts,,,"&nbsp;
<div class=""wrapper clearfix"">
<div id=""main"" class=""grid-block"">
<div id=""maininner"" class=""grid-box"">
<div id=""system"">
<div class=""content clearfix"">
<div id=""slideshow-530-55d5e83f5c6d0"" class=""wk-slideshow wk-slideshow-list"" data-options=""{&quot;style&quot;:&quot;list&quot;,&quot;autoplay&quot;:0,&quot;interval&quot;:5000,&quot;width&quot;:&quot;auto&quot;,&quot;height&quot;:&quot;auto&quot;,&quot;duration&quot;:500,&quot;index&quot;:0,&quot;order&quot;:&quot;default&quot;,&quot;navigation&quot;:200,&quot;animated&quot;:&quot;scroll&quot;}"" data-widgetkit=""slideshow"">
<div>
<ul class=""nav nav-200 clearfix"">
	<li class=""active"">Keith Fox</li>
	<li>Kelly Brookbank</li>
	<li>Tara Wood</li>
	<li>Darnelle Quinn</li>
	<li>Brad Solomon</li>
	<li>Melissa Nangle</li>
	<li>Holly Bromer</li>
	<li>Rachael Sherman</li>
	<li>Diana Eberhard</li>
	<li>Jen Metz</li>
	<li>Dawn Esposito</li>
	<li>Anita Havel</li>
	<li>Jenny Hickory</li>
	<li>Hedy McDonald</li>
	<li>Jacqueline Pfeffer Sheridan</li>
	<li>Elizabeth Avidane</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",2015-01-01,,,,,,
2571,"The Yoga Shack",1,"The Yoga Shack is a Vinyasa, yoga studio located in downtown Sarasota. We offer a sweaty & spiritual practice for all levels from beginners to advanced. We have a beautiful team of yogini guides who each bring their own uniqueness to the creative motion of vinyasa. We love community and host lots of events!","Ashtanga,Core Strength,Flow,Gentle,Hatha,Iyengar Meditation,Power,Restorative,Vinyasa",,gd_yoga_studio,publish,,6,Never,,"423 N Lemon Ave",Sarasota,FL,"United States",34236,27.3398795918367,-82.5408,,,,,,,,,,2015-01-01,,,,,,
2570,"Power Yoga San Marco South",1,"Our signature yoga classes are known for safety precise instruction with breath movement and Flow, designed to deepen the students experience of yoga.","Power,Vinyasa",,gd_yoga_studio,publish,,6,Never,,"3825 Hendricks Avenue",Jacksonville,FL,"United States",32207,30.283746067571,-81.6508395633205,,,,,,,,,,2015-01-01,,,,,,
2569,"Ocean Arts Yoga",1,"Ocean Arts Yoga is dedicated to facilitating yoga for depression and anxiety relief.","Corporate,Gentle,Hatha,Meditation,Senior,Special Needs,Vinyasa,Yin",,gd_yoga_studio,publish,,6,Never,,"2737 East Oakland Park Blvd.","Fort Lauderdale",FL,"United States",33301,26.1667,-80.1307,,,,,,,,,,2015-01-01,,,,,,
2568,"Lotus Yoga Center",1,"Lotus Yoga Center is designed to offer quality fitness classes taught by licensed instructors. It is our mission to personally care for every client by offering dedicated guidance.","Alignment,Ashtanga,Flow,Gentle,Hatha,Iyengar Kundalini,Meditation,Power,Prenatal,Special Needs,Vinyasa,WoMen's,Yin",,gd_yoga_studio,publish,,6,Never,,"465 Oakland Ave",Apopka,FL,"United States",32703,28.6721163265306,-81.5033,,,,,,,,,,2015-01-01,,,,,,
2567,"Naples Yoga Center",1,"Naples Yoga Center offers affordable yoga classes taught by highly qualified teachers for persons of all levels and all ages. Our vision is to create a space of love and service where we embrace everyones' personal growth and empowerment through an inspirational practice.","Alignment,Ashtanga,Baptiste,Bhakti Yoga,Chair Yoga,Core Strength,Corporate,Family,Flow,Gentle,Hatha,Hot,Iyengar Meditation,Men's,Paddleboard Yoga,Power,Restorative,Senior,Special Needs,Thai,Vinyasa,WoMen's,Yin,Yoga Massage,Yoga Therapy",,gd_yoga_studio,publish,,6,Never,,"13240 Tamiami Trail N #206",Naples,FL,"United States",34110,26.2945,-81.8021,,,,,,,,,,2015-01-01,,,,,,
2565,"Power Yoga San Marco South",1,"Our signature yoga classes are known for safety precise instruction with breath movement and Flow, designed to deepen the students experience of yoga.","Power,Vinyasa",,gd_yoga_studio,publish,,6,Never,,"3825 Hendricks Avenue",Jacksonville,FL,"United States",32207,30.283746067571,-81.6508395633205,,,,,,,,,,2015-01-01,,,,,,
2564,"Ocean Arts Yoga",1,"Ocean Arts Yoga is dedicated to facilitating yoga for depression and anxiety relief.","Corporate,Gentle,Hatha,Meditation,Senior,Special Needs,Vinyasa,Yin",,gd_yoga_studio,publish,,6,Never,,"2737 East Oakland Park Blvd.","Fort Lauderdale",FL,"United States",33301,26.1667,-80.1307,,,,,,,,,,2015-01-01,,,,,,
2563,"Lotus Yoga Center",1,"Lotus Yoga Center is designed to offer quality fitness classes taught by licensed instructors. It is our mission to personally care for every client by offering dedicated guidance.","Alignment,Ashtanga,Flow,Gentle,Hatha,Iyengar Kundalini,Meditation,Power,Prenatal,Special Needs,Vinyasa,WoMen's,Yin",,gd_yoga_studio,publish,,6,Never,,"465 Oakland Ave",Apopka,FL,"United States",32703,28.6721163265306,-81.5033,,,,,,,,,,2015-01-01,,,,,,
2562,"Naples Yoga Center",1,"Naples Yoga Center offers affordable yoga classes taught by highly qualified teachers for persons of all levels and all ages. Our vision is to create a space of love and service where we embrace everyones' personal growth and empowerment through an inspirational practice.","Alignment,Ashtanga,Baptiste,Bhakti Yoga,Chair Yoga,Core Strength,Corporate,Family,Flow,Gentle,Hatha,Hot,Iyengar Meditation,Men's,Paddleboard Yoga,Power,Restorative,Senior,Special Needs,Thai,Vinyasa,WoMen's,Yin,Yoga Massage,Yoga Therapy",,gd_yoga_studio,publish,,6,Never,,"13240 Tamiami Trail N #206",Naples,FL,"United States",34110,26.2945,-81.8021,,,,,,,,,,2015-01-01,,,,,,
